1.000000000000000048e-04 2.906051619342992609e+00 7.462119819026813428e-01 1.436073027852281747e+00 1.410829786450314760e+00 2.409332433385497074e-02 6.139939433975893923e-04 3.709153843587331689e-03 -1.294460527052412879e-03 3.142570116364562516e-02 1.279459685050776674e-03 2.178039037871642991e-02 -5.501273989189520153e-02 2.967891727365936649e-01 -5.351913518991966434e-01 9.543745599019025317e-04 8.933750230847316287e-02
1.151395399326446927e-04 2.860722503238625869e+00 6.988723163291101770e-01 1.364958626022871213e+00 1.322403944448146795e+00 2.563399484389794480e-02 7.368417313359243437e-04 4.000960575745893255e-03 -1.272189925989306025e-03 3.308435479737814600e-02 1.205367363498355271e-03 2.360494800229695489e-02 -5.079617646067179082e-02 3.064897739743315253e-01 -5.228070936938105095e-01 3.636680441961381328e-03 7.412584225106703950e-02
1.325711365590109543e-04 2.815405728981031697e+00 6.586280524367921219e-01 1.308744557998403835e+00 1.246856327363375705e+00 2.729566618448603377e-02 8.940427551678564733e-04 4.318183834072841787e-03 -1.251820952761883987e-03 3.485989265135536197e-02 1.151260142898680172e-03 2.614203360893901928e-02 -4.664551928313108442e-02 3.158794264026344445e-01 -5.090709612371046022e-01 4.933524249824835194e-03 6.407245802265681967e-02
1.526417967175233259e-04 2.770324102867665061e+00 6.244195241115695350e-01 1.266716265313918344e+00 1.181035820270940784e+00 2.908113496268388554e-02 1.071826646856594012e-03 4.666986511230430956e-03 -1.229507452258457589e-03 3.674532391650664476e-02 1.111022581747167504e-03 2.828035986310167837e-02 -4.300222704272022023e-02 3.248707472090531789e-01 -4.941991141595850068e-01 5.655341068586110242e-03 5.779131852221603555e-02
1.757510624854791170e-04 2.725517322797724074e+00 5.944487582232559353e-01 1.238632415751813820e+00 1.124100495485785611e+00 3.099065793148558789e-02 1.266470151572163250e-03 5.049239129196692044e-03 -1.211296513348857073e-03 3.873956456544158655e-02 1.090102566206563317e-03 2.991495798307713949e-02 -3.997435589083222357e-02 3.334714075036346870e-01 -4.785649375008670381e-01 5.894428576734326262e-03 5.400134138166334807e-02
2.023589647725157589e-04 2.681196838693734374e+00 5.641250926612668692e-01 1.223304323506445579e+00 1.082280689395135109e+00 3.301849624366737235e-02 1.425823533246772801e-03 5.477156013369621768e-03 -1.203517031224531075e-03 4.083481205164418704e-02 1.028231719495176222e-03 3.126187635942873078e-02 -3.730603537237335565e-02 3.418424717767015730e-01 -4.624912367226028387e-01 6.105220955743916912e-03 4.880768069883391347e-02
2.329951810515371805e-04 2.637384376323162360e+00 5.350509620256458376e-01 1.221403075342442968e+00 1.049932598530862737e+00 3.516589939286773880e-02 1.547203870220559274e-03 5.952690748948608057e-03 -1.212797163812409651e-03 4.303053129517608877e-02 9.237437726121178194e-04 3.235494070724337368e-02 -3.489195915358409006e-02 3.500848868970291017e-01 -4.458210154938854197e-01 6.235027687244114672e-03 4.349911980376581361e-02
2.682695795279724476e-04 2.594164003900461424e+00 5.091953271630039746e-01 1.234246661261282352e+00 1.018495848476023369e+00 3.743142390222492510e-02 1.633470266189929188e-03 6.497803876925334343e-03 -1.261760471277802165e-03 4.532139767855858370e-02 7.648154326440614881e-04 3.330068004701974838e-02 -3.256661292586237461e-02 3.584611086702909066e-01 -4.283162187443461111e-01 6.268431070720082224e-03 3.967181908221596026e-02
3.088843596477481527e-04 2.551560515699526466e+00 4.856781521167745641e-01 1.261118092261666934e+00 9.820269772796574870e-01 3.982648473418481938e-02 1.675470149689939348e-03 7.049611997319960022e-03 -1.328185468408182857e-03 4.771595411720908064e-02 5.754847871185519992e-04 3.405999944634308108e-02 -3.032459936431707720e-02 3.668684233087414759e-01 -4.105069411107938326e-01 6.217020373943566401e-03 3.686609060461188553e-02
3.556480306223128661e-04 2.509599140891932478e+00 4.637532165071666101e-01 1.301809107355178963e+00 9.380345387151233227e-01 4.235414178804519647e-02 1.671334622949022242e-03 7.560114271729201363e-03 -1.407078063365894971e-03 5.020537728988849757e-02 3.766318389149536650e-04 3.462309337997493408e-02 -2.816141756988261441e-02 3.751541695227437190e-01 -3.927431014729541592e-01 6.047944115574644883e-03 3.465683609043487129e-02
